Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Albania,,0.00,0.00,0.00,0.00,0.01,,0.32,2.01,2.88,3.29,3.99,4.96
Algeria,,0.00,0.00,0.06,0.11,0.41,0.51,0.85,1.41,2.34,2.54,2.78,3.05
American Samoa,,0.00,0.00,,,,,,,,,,
Andorra,,,1.66,4.99,8.34,13.28,18.30,22.76,25.03,27.42,28.87,29.90,30.97
Angola,,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.09,0.11,0.10,0.13,0.16
Anguilla,,10.69,11.59,13.13,11.13,16.34,20.27,22.93,24.79,24.93,24.67,25.23,25.77
Antigua & Barbuda,,0.00,0.00,0.00,0.12,0.94,1.81,2.64,5.74,7.27,8.03,6.70,5.63
Argentina,,0.25,0.39,0.68,1.42,2.40,4.06,6.60,8.02,8.67,9.56,10.35,10.88
Armenia,,0.00,0.00,0.00,0.03,0.06,,0.13,0.36,1.01,2.75,4.98,6.64
Aruba,,0.00,0.00,1.44,7.03,12.15,13.58,15.35,17.43,17.63,17.88,,
Ascension,,0.00,0.00,0.00,4.38,,,,,,,,
Australia,,0.63,1.32,2.60,5.03,9.88,18.80,,23.94,23.25,24.14,23.94,25.06
Austria,2.38,3.99,5.58,7.39,10.63,14.26,17.31,19.52,20.73,22.05,23.63,24.60,25.23
Azerbaijan,,0.00,0.01,,,0.03,0.05,0.17,0.67,1.10,5.01,10.73,13.80
Bahamas,,1.37,2.47,3.53,4.07,4.19,5.12,6.23,7.64,9.34,7.20,4.46,2.76
Bahrain,0.00,0.18,0.78,1.50,2.23,2.96,4.76,7.21,7.30,6.50,5.36,13.83,12.74
Bangladesh,,0.00,0.00,0.00,0.00,0.00,,0.03,0.03,0.21,0.28,0.31,0.34
Barbados,,0.00,0.00,10.14,10.98,11.81,14.31,17.35,18.08,21.01,20.56,22.14,23.82
Belarus,,0.00,0.00,0.00,0.01,0.02,0.12,1.75,4.94,11.34,17.36,21.94,26.56
Belgium,1.42,4.50,7.95,12.06,15.64,19.31,23.40,25.76,27.94,29.40,31.49,32.81,34.11
Belize,,0.00,0.00,0.35,1.03,1.79,2.52,2.55,2.69,2.73,2.86,3.05,3.08
Benin,,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.01,0.03,0.04,0.04,0.05
Bermuda,,0.00,0.00,,,28.83,36.75,44.65,52.52,61.73,61.75,,
Bhutan,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.47,1.20,1.79,2.23
Bolivia,,0.00,0.04,0.07,0.10,0.14,0.19,0.36,0.82,0.98,0.97,0.65,1.08
Bosnia and Herzegovina,0.00,0.00,0.01,0.04,0.18,0.36,1.06,2.24,4.99,6.27,8.18,9.71,10.79
Botswana,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.18,0.46,0.50,0.60,0.77,0.78
Brazil,0.06,0.19,0.41,0.53,1.72,1.74,2.54,4.01,5.05,5.85,6.81,8.57,9.17
British Virgin Islands,,0.00,0.00,,,,,,,23.53,23.28,24.09,24.99
Brunei Darussalam,,0.57,0.81,1.10,1.76,2.24,2.42,3.08,4.39,5.11,5.44,5.71,4.81
Bulgaria,,0.00,0.00,0.00,0.09,2.14,5.00,8.23,10.78,12.70,14.52,16.45,17.65
Burkina Faso,,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.07,0.07,0.08,0.08,0.08
Burundi,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cambodia,,0.00,0.00,0.00,0.01,0.01,0.02,0.06,0.12,0.21,0.25,0.15,0.21
Cameroon,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01
Canada,4.60,9.16,11.24,14.28,16.95,21.70,24.65,27.52,29.53,29.64,30.80,31.83,32.89
Cape Verde,0.00,0.00,0.00,0.00,0.06,0.20,0.38,0.79,1.51,2.23,3.04,4.02,3.78
Cayman Islands,,0.00,0.00,,,,,,31.70,32.81,33.53,33.17,33.77
Central African Rep.,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chad,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.16
Chile,0.05,0.43,1.19,2.21,2.97,4.35,6.19,7.74,8.50,9.70,10.40,11.60,12.44
China,0.00,0.03,0.26,0.87,1.92,2.86,3.87,5.03,6.24,7.79,9.42,11.61,12.97
Cocos Keeling Islands,,,,,,,,,,,,,
Colombia,0.02,0.03,0.08,0.15,0.30,0.74,1.44,2.72,3.91,4.57,5.56,6.94,8.36
Comoros,,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.01,0.01,0.02,0.03
Congo,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01
Congo (Dem. Rep.),,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00
Costa Rica,,0.00,0.22,0.36,0.66,1.04,1.90,2.13,2.38,3.92,10.34,9.09,10.04
Côte d'Ivoire,,0.00,0.00,0.00,0.00,0.01,0.05,0.05,0.05,0.05,0.04,0.25,0.24
Croatia,,0.00,0.00,0.08,0.59,2.62,5.68,8.74,11.87,15.53,18.25,19.59,20.29
Cuba,,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.03,0.04,0.04
Cyprus,,0.26,0.60,1.01,1.68,3.09,6.02,9.18,13.67,16.12,17.58,18.94,19.22
Czech Republic,0.02,0.06,0.15,0.34,2.31,6.94,10.84,14.51,16.96,12.98,14.58,15.84,16.60
D.P.R. Korea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
Denmark,1.25,4.44,8.40,13.34,18.84,24.80,31.88,34.41,36.11,36.15,37.20,37.60,38.22
Djibouti,0.00,0.00,0.00,,,0.01,0.02,0.13,0.29,0.61,0.91,1.25,1.72
Dominica,0.11,0.25,3.23,3.83,4.71,4.93,6.26,7.31,10.27,10.75,12.27,12.27,12.56
Dominican Rep.,,0.00,0.00,0.17,0.41,0.65,1.09,1.61,2.34,3.01,3.64,4.02,4.42
Ecuador,,0.02,0.05,0.05,0.09,0.20,0.34,0.72,1.11,1.69,1.37,4.22,5.42
Egypt,,0.00,0.07,0.08,0.11,0.19,0.34,0.62,0.98,1.31,1.79,2.23,2.72
El Salvador,,0.00,0.00,0.33,0.49,0.70,1.01,1.47,2.01,2.43,2.83,3.31,3.86
Equatorial Guinea,,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.03,0.03,0.17,0.19,0.20
Eritrea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Estonia,,1.28,3.43,6.68,10.28,13.31,18.36,18.80,20.97,22.44,23.26,24.77,25.67
Ethiopia,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04
Falkland (Malvinas) Is.,,0.00,0.00,0.00,0.00,0.00,10.75,20.75,29.67,37.92,38.91,39.94,40.48
Faroe Islands,,0.12,0.24,0.83,6.54,12.16,27.08,29.78,30.62,32.66,33.40,,
Fiji,,0.00,0.00,0.00,0.00,0.85,1.03,1.38,1.54,1.51,2.70,2.68,1.54
Finland,0.68,2.58,5.26,9.43,15.31,22.39,27.14,30.56,29.94,28.71,28.57,29.50,30.45
France,0.33,1.01,2.77,5.93,10.83,15.53,20.71,25.51,28.71,31.79,33.98,36.04,37.76
French Polynesia,,0.01,0.01,0.38,1.81,4.32,7.06,9.03,10.46,11.22,11.91,13.15,14.53
Gabon,,0.00,0.00,0.01,0.05,0.11,0.13,0.14,0.15,0.25,0.27,0.29,0.32
Gambia,,0.00,0.00,0.00,0.00,0.00,,0.02,0.02,0.02,0.02,0.02,0.03
Georgia,,0.01,0.02,0.03,0.04,0.05,0.61,1.06,2.55,3.43,5.83,7.50,9.11
Germany,0.32,2.55,3.89,5.42,8.48,13.07,18.15,23.86,27.46,30.21,31.70,33.09,34.04
Ghana,,0.00,0.00,0.00,0.00,0.01,0.06,0.07,0.10,0.12,0.21,0.25,0.25
Gibraltar,,0.00,0.00,,,,,,,31.78,35.68,38.57,40.91
Greece,0.00,0.00,0.00,0.09,0.46,1.43,4.35,9.04,13.34,16.91,19.81,21.62,23.52
Greenland,,0.00,0.00,0.21,5.82,12.46,16.09,18.28,20.84,21.77,21.52,20.65,19.37
Grenada,,0.00,0.55,,0.59,3.14,5.38,7.35,8.63,11.88,13.82,13.76,13.71
Guam,,1.11,,,,,,1.56,1.54,1.69,1.67,,
Guatemala,,0.00,0.00,0.00,0.00,0.21,0.30,0.43,0.69,1.11,1.80,,
Guernsey,,,,,,,,,,,,,
Guinea,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.01,0.01,0.01
Guinea-Bissau,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
Guyana,,0.00,0.00,0.00,0.00,0.27,,0.31,0.68,0.91,1.48,2.65,3.85
Haiti,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.17,0.16,
Honduras,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.01,0.75,0.77
"Hong Kong, China",6.55,10.49,15.20,18.59,22.29,24.36,26.29,27.63,27.94,28.95,29.93,31.58,31.55
Hungary,0.03,0.31,1.10,2.61,4.07,6.46,11.92,13.76,16.77,18.80,20.61,22.16,22.93
Iceland,0.84,3.67,8.46,14.35,19.03,26.29,29.15,32.03,33.38,33.20,33.43,33.92,34.45
India,0.00,0.00,0.01,0.01,0.02,0.12,0.20,0.27,0.44,0.64,0.90,1.08,1.14
Indonesia,0.00,0.01,0.02,0.03,0.04,0.05,0.08,0.34,0.42,0.79,0.95,1.12,1.22
Iran (I.R.),0.00,0.00,0.02,0.03,,,0.14,0.28,0.41,0.55,1.30,2.37,4.07
Iraq,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,
Ireland,0.00,0.00,0.27,1.04,3.72,7.76,13.29,14.83,17.68,19.73,21.06,21.96,22.70
Israel,0.00,0.72,3.71,9.97,15.14,18.62,21.04,22.09,23.74,23.73,23.75,24.85,22.24
Italy,0.20,0.68,1.48,3.89,8.11,11.63,14.38,17.01,18.83,20.05,21.57,22.10,22.12
Jamaica,,0.12,0.34,0.34,1.01,1.68,2.53,3.42,3.58,4.11,4.26,3.87,4.33
Japan,0.68,3.05,7.46,11.82,15.48,18.44,20.91,22.37,23.80,25.96,26.88,27.56,27.92
Jersey,,0.00,0.00,,,,,,,,,,
Jordan,,0.01,0.06,0.10,0.20,0.44,0.88,1.57,2.34,3.38,3.16,3.16,3.00
Kazakhstan,,0.00,0.00,0.01,0.01,0.02,0.20,1.75,2.15,3.64,5.43,7.36,9.72
Kenya,,0.00,0.00,0.00,,0.02,0.05,0.05,0.01,0.02,0.01,0.10,0.10
Kiribati,,0.00,0.00,,,0.35,0.43,0.53,0.71,0.78,0.85,0.91,0.97
Korea (Rep.),8.42,16.89,22.40,23.97,25.45,25.91,29.71,30.97,32.42,34.08,35.68,36.91,37.56
Kuwait,,0.25,0.51,0.61,0.91,1.10,1.28,1.43,1.57,1.70,1.68,1.67,1.63
Kyrgyzstan,,,0.00,0.00,0.04,0.05,0.05,0.06,0.36,0.29,0.39,0.69,2.62
Lao P.D.R.,,0.00,0.00,0.00,0.00,0.01,0.01,0.08,0.10,0.14,0.19,0.66,1.46
Latvia,0.01,0.14,0.43,0.84,2.12,2.64,4.78,14.05,17.42,19.32,19.31,20.39,21.53
Lebanon,,0.00,0.90,1.78,2.00,3.21,4.64,4.64,4.68,4.69,4.68,4.93,11.65
Lesotho,,0.00,0.00,0.00,0.00,0.00,,0.01,0.01,0.02,0.02,0.06,0.13
Liberia,,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00
Libya,,,0.00,0.00,0.00,,0.16,0.16,0.75,1.01,1.15,1.09,1.04
Liechtenstein,,,4.27,4.41,13.80,24.84,28.58,39.70,55.18,61.50,63.83,71.62,80.36
Lithuania,0.00,0.07,0.58,1.94,3.76,6.85,10.85,15.02,15.79,16.89,17.86,18.88,19.53
Luxembourg,0.00,0.28,1.32,3.44,8.10,15.33,21.25,27.05,29.42,31.37,33.18,32.90,32.61
"Macao, China",0.86,2.22,3.77,6.04,9.62,14.13,18.70,21.85,23.45,23.75,24.16,24.73,25.45
Madagascar,,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.03,0.03,0.04
Malawi,,0.00,0.00,0.00,0.00,0.00,,0.01,0.01,0.01,0.01,0.01,0.01
Malaysia,0.00,0.02,0.08,0.44,0.99,1.85,2.82,3.79,4.79,5.52,6.46,7.41,8.39
Maldives,0.00,0.00,0.07,0.18,0.25,1.10,2.10,3.41,4.99,4.92,4.80,5.45,5.51
Mali,,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,0.01,0.01
Malta,0.42,2.29,4.40,5.62,9.24,12.56,12.88,20.12,23.03,26.45,29.21,29.95,31.68
Marshall Islands,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
Mauritania,,0.00,0.00,0.00,0.00,0.01,0.03,0.12,0.18,0.20,0.17,0.17,0.18
Mauritius,,0.00,0.02,0.10,0.21,0.43,2.20,1.75,3.64,5.33,7.16,9.77,10.57
Mayotte,,0.00,0.00,,,,,,,,,,
Mexico,0.02,0.05,0.23,0.41,1.01,1.81,2.80,4.09,6.71,8.29,9.74,10.34,10.95
Micronesia,,0.00,0.00,0.01,0.02,0.04,0.09,0.11,,,0.90,,
Moldova,,0.01,0.01,0.02,0.06,0.28,0.59,1.43,3.17,5.19,7.53,10.02,11.85
Monaco,2.28,7.53,13.88,18.50,21.56,26.94,31.19,34.85,36.79,37.88,38.98,44.25,45.52
Mongolia,,0.00,0.00,0.02,0.04,0.07,0.14,0.28,1.22,1.35,2.58,3.16,3.63
Montenegro,,,,,0.00,1.22,,2.57,5.44,8.42,8.30,8.29,8.28
Montserrat,,0.00,0.00,,,,0.76,0.86,0.17,0.34,0.84,5.01,9.92
Morocco,,0.00,0.01,0.01,0.21,0.82,1.28,1.54,1.54,1.50,1.56,1.83,2.09
Mozambique,,0.00,0.00,0.00,0.00,0.00,,0.03,0.05,0.05,0.06,0.07,0.08
Myanmar,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.04,0.05,0.02,0.01
Namibia,,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.42,0.80,2.78
Nauru,,,,,,,,,,,3.90,0.00,0.00
Nepal,,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.05,0.20,0.31,0.40
Neth. Antilles,,0.00,0.00,,,,,,,,,,
Netherlands,1.64,2.92,7.30,12.32,19.76,25.14,31.70,33.49,35.17,37.01,38.10,38.99,39.44
New Caledonia,0.00,0.06,0.32,0.75,2.26,4.15,6.64,8.50,10.48,13.41,15.23,16.78,18.51
New Zealand,0.12,0.44,1.10,2.06,4.70,7.76,11.24,20.15,21.39,22.68,24.04,25.82,27.79
Nicaragua,0.01,0.03,0.04,0.08,0.09,0.19,0.35,0.50,0.77,1.38,1.27,1.45,1.66
Niger,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.02
Nigeria,,0.00,0.00,0.00,0.00,0.00,,0.04,0.04,0.05,0.06,0.13,0.01
Niue,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
Norfolk Islands,,,,,,,,,0.00,,,,
Northern Marianas,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
Norway,0.52,1.96,4.53,8.75,14.64,21.44,26.66,30.41,32.43,33.78,34.59,35.44,36.88
Oman,,0.00,0.00,0.01,0.03,0.54,0.81,0.79,1.23,1.52,1.63,1.85,2.45
Pakistan,,0.00,0.00,0.00,,0.01,0.02,0.03,0.09,0.18,0.31,0.42,0.52
Palau,,0.00,0.00,,0.37,0.50,0.48,0.50,0.55,0.70,1.17,2.51,2.95
Palestinian Authority,,0.00,0.00,0.00,0.00,0.21,0.75,1.49,,,,,
Panama,,0.26,0.40,0.48,0.53,0.54,3.42,4.49,5.76,6.77,7.34,7.92,8.21
Papua New Guinea,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.07,0.09,0.11,0.13
Paraguay,0.00,0.01,0.01,0.01,0.05,0.09,0.10,0.14,0.21,0.25,0.44,0.94,1.11
Peru,0.00,,0.14,0.35,0.84,1.28,1.74,2.02,2.55,2.81,3.14,4.05,4.78
Philippines,0.00,0.01,0.03,0.07,0.11,0.14,0.30,0.56,1.16,1.88,1.85,1.89,2.23
Poland,0.00,0.03,0.32,0.51,2.29,2.48,7.63,10.93,10.43,12.54,12.96,14.68,16.63
Portugal,0.24,0.96,2.50,4.80,7.98,11.05,13.46,14.26,15.17,17.72,19.71,20.98,22.34
Puerto Rico,,0.06,0.60,1.43,2.28,3.13,3.98,4.84,11.34,12.80,14.71,14.90,
Qatar,0.00,0.00,0.04,0.46,1.53,3.12,4.78,7.38,7.47,8.84,8.07,8.72,8.20
Romania,,0.03,0.07,0.89,0.48,1.73,5.02,8.87,11.53,12.95,13.87,15.21,15.90
Russia,0.00,0.00,0.01,0.24,0.47,1.10,2.02,3.42,6.48,9.02,10.98,12.20,14.48
Rwanda,,0.00,0.00,0.00,0.01,0.01,0.02,0.03,0.01,0.02,0.02,0.03,0.02
S. Tomé & Principe,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.20,0.22,0.27,0.34,0.42,0.52
Samoa,,0.00,0.00,0.00,0.02,0.04,0.05,0.07,0.09,0.11,0.11,,
San Marino,,,,2.07,3.62,4.03,4.82,5.16,15.71,17.37,19.00,20.60,31.00
Saudi Arabia,,0.07,0.16,0.21,0.30,0.28,0.88,2.44,4.01,5.01,5.45,5.62,6.85
Senegal,,0.00,0.01,0.02,0.07,0.17,0.26,0.33,0.40,0.49,0.63,0.73,0.73
Serbia,,,,,,0.41,1.50,4.02,5.64,7.28,9.87,11.29,10.18
Seychelles,,0.00,0.00,0.00,0.42,1.14,2.94,3.36,3.20,4.56,7.26,10.36,11.72
Sierra Leone,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Singapore,1.76,3.79,6.70,10.21,13.11,15.38,17.87,19.55,21.45,23.67,24.94,25.64,26.08
Slovak Republic,,0.00,0.08,0.42,1.46,3.35,5.62,8.69,9.55,11.51,12.71,13.65,14.57
Slovenia,,0.28,2.85,2.91,5.76,9.82,13.94,17.13,21.07,22.18,23.04,23.97,24.61
Solomon Islands,,0.00,0.00,0.00,0.04,0.10,0.13,0.20,0.29,0.38,0.47,0.44,0.38
Somalia,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
South Africa,,,0.01,0.04,0.13,0.35,0.69,0.77,0.86,0.97,1.48,1.80,2.18
South Sudan,,,,,,,,,,,,,0.00
Spain,0.19,1.14,3.02,5.05,7.96,11.60,15.31,17.91,20.06,21.27,22.87,23.78,24.26
Sri Lanka,,0.00,0.00,0.02,0.10,0.11,0.11,0.31,0.50,0.82,1.09,1.71,1.99
St. Helena,,0.00,0.00,0.06,0.26,0.33,0.36,0.46,5.22,9.89,13.04,19.70,21.77
St. Kitts and Nevis,,,1.06,4.17,9.06,13.22,17.67,19.03,21.73,25.12,27.86,27.52,27.19
St. Lucia,,,0.00,0.86,2.32,4.24,4.30,6.56,9.10,10.78,11.76,12.12,13.82
St. Pierre & Miquelon,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
St. Vincent and the Grenadines,0.00,0.08,1.00,1.06,1.22,3.35,5.16,7.31,8.58,10.53,11.43,12.89,12.45
Sudan,,0.00,0.00,0.00,0.00,0.00,0.01,0.11,0.11,,0.03,0.04,0.05
Suriname,,0.00,0.02,0.04,0.09,0.22,0.53,0.82,1.12,1.65,2.99,4.57,5.75
Swaziland,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.13,0.14,0.23,0.27
Sweden,2.81,6.61,9.44,12.25,15.71,27.93,27.38,30.30,31.38,31.59,31.95,32.15,32.18
Switzerland,0.79,1.94,6.27,10.73,16.67,22.51,27.45,31.65,33.75,35.94,37.99,39.94,41.86
Syria,,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.06,0.17,0.34,0.58,1.79
"Taiwan, Province of China",1.04,5.13,9.43,13.57,16.61,19.10,19.71,20.64,21.54,21.59,22.68,23.49,23.88
Tajikistan,,0.00,0.00,0.00,,,,0.06,0.05,0.06,0.07,0.07,0.08
Tanzania,,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01
TFYR Macedonia,,,0.00,0.00,0.00,0.61,1.79,4.91,8.82,10.63,11.54,12.56,14.62
Thailand,0.00,0.00,,0.02,0.25,0.83,1.33,1.91,3.04,3.82,4.61,5.45,6.23
Timor-Leste,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.04,0.05,0.05
Togo,,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.06,0.08,0.08
Tokelau,,0.00,0.00,0.00,0.00,,,,,,,,
Tonga,,0.00,0.01,0.02,0.33,0.64,0.62,0.76,0.70,0.97,1.06,1.24,1.43
Trinidad & Tobago,,0.00,0.01,0.07,0.32,0.82,1.56,2.68,6.42,9.40,10.81,11.51,13.61
Tunisia,0.00,0.00,0.00,0.00,0.03,0.18,0.44,0.95,2.22,3.60,4.60,5.14,4.79
Turkey,0.00,0.02,0.03,0.30,0.86,2.33,4.02,6.79,8.11,8.97,9.74,10.26,10.55
Turkmenistan,,,,,,,,,0.00,0.01,0.01,0.02,0.03
Turks & Caicos Is.,,0.00,0.00,,,,,,,,,,
Tuvalu,,0.00,0.00,0.00,0.52,1.55,2.57,2.77,2.96,1.02,2.44,4.57,5.57
Uganda,,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.04,0.10,0.11
Ukraine,,,0.00,0.00,0.00,0.28,1.12,1.73,3.48,4.17,6.50,7.01,8.11
United Arab Emirates,0.07,0.27,0.51,0.89,1.53,3.18,5.16,7.03,8.98,9.91,10.47,10.99,11.74
United Kingdom,0.09,0.56,2.29,5.22,10.22,16.44,21.50,25.63,28.19,28.97,30.84,32.75,34.03
United States,2.50,4.48,6.89,9.52,12.70,17.23,20.11,23.23,24.82,25.46,26.66,27.35,28.03
Uruguay,,0.00,0.00,0.00,0.81,1.46,2.79,4.56,6.80,8.96,10.91,13.47,16.60
Uzbekistan,,0.00,0.00,0.01,0.02,0.03,0.03,0.07,0.25,0.33,0.43,0.53,0.72
Vanuatu,,0.00,0.00,0.01,0.01,0.03,0.04,0.06,0.09,0.21,0.42,1.02,1.03
Vatican,,0.00,0.00,,,,,,,,,,
Venezuela,0.02,0.13,0.29,0.44,0.78,1.32,1.97,3.09,3.89,4.71,5.61,6.05,6.74
Viet Nam,,0.00,0.00,0.01,0.06,0.25,0.61,1.52,2.38,3.70,4.18,4.32,4.96
Virgin Islands (US),,0.00,0.00,0.00,1.36,2.71,,5.42,6.78,8.24,8.34,,
Wallis and Futuna,,0.00,0.00,0.00,0.00,0.00,0.00,1.61,4.99,6.42,7.82,8.40,8.82
Yemen,,0.00,0.00,0.00,0.00,0.01,0.01,0.05,0.11,0.23,0.35,0.44,0.65
Zambia,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.08,0.08,0.12,0.11
Zimbabwe,,0.01,0.02,0.05,0.07,0.08,0.08,0.12,0.14,0.23,0.26,0.27,0.55
